Frequency	S12
GHZ	dB
0.10760273	-4.8211603
0.14728476	-5.8986745
0.1808466	-7.1554637
0.23731828	-8.664006
0.26936793	-9.56191
0.28617346	-9.634089
0.37012967	-11.609805
0.38538492	-12.184336
0.4480308	-12.293519
0.49994054	-13.299562
0.515191	-13.981747
0.5426898	-14.1259575
0.57325906	-13.947279
0.61149085	-13.2664
0.63899285	-13.338841
0.65884656	-13.59052
0.6878782	-13.627113
0.69856036	-13.950338
0.72451204	-14.525129
0.7779594	-15.315901
0.8008597	-15.782963
0.8038984	-16.17777
0.84209526	-16.286358
0.8832974	-17.543333
0.9383157	-17.365252
0.9551117	-17.65274
0.9810935	-17.545721
0.9978689	-18.299711
1.0176797	-19.52028
1.032919	-20.45366
1.0435933	-20.956306
1.054266	-21.49484
1.0817711	-21.495512
1.112318	-21.819221
1.1245537	-21.568325
1.1474731	-21.60477
1.1734344	-21.964252
1.1963775	-21.462423
1.2284876	-20.996704
1.2529143	-21.49969
1.2957128	-21.213655
1.3430369	-22.25547
1.3812289	-22.471712
1.4254776	-23.94407
1.4514517	-24.016476
1.4880569	-25.560417
1.4971999	-26.134798
1.5353824	-26.566349
1.5551901	-27.858686
1.5795486	-29.904718
1.5962604	-32.0941
1.6084135	-33.709217
1.6266167	-36.723988
1.6341649	-38.805492
1.6432476	-40.743496
1.6538646	-42.538
1.6629615	-44.153038
1.6690309	-45.122078
1.6844403	-42.215782
1.6829503	-41.354507
1.692206	-39.38107
1.7060348	-37.65893
1.7152667	-36.223763
1.7245098	-34.537403
1.7306999	-32.779194
1.7521675	-31.093132
1.7843442	-29.12025
1.8088742	-27.290722
1.8257624	-25.496891
1.8426187	-24.420757
1.8686466	-23.273077
1.8809284	-21.981524
1.9100362	-20.295645
1.9299519	-19.147816
1.9620794	-18.287365
1.9819888	-17.283075
2.0492585	-16.49525
2.0737107	-16.424078
2.0920365	-16.675718
2.1256523	-16.712423
2.1684127	-17.287626
2.2280135	-17.14554
2.243283	-17.397108
2.2585733	-17.182173
2.2921908	-17.182993
2.307465	-17.326904
2.342609	-17.363647
2.3854136	-16.934074
2.4312875	-16.217497
2.4603286	-16.038782
2.4786527	-16.326307
2.5153263	-16.327204
2.5672455	-17.117937
2.6130557	-17.836752
2.6816883	-20.780985
2.727427	-23.114618
2.7761981	-25.986595
2.8158007	-28.85835
2.840183	-30.36611
2.8859568	-31.910276
2.914955	-32.70045
2.9516094	-33.13196
2.9898984	-31.159231
3.0083258	-29.114244
3.0328653	-27.069407
3.0604594	-25.06053
3.089577	-23.159344
3.14318	-20.433403
3.153905	-19.787737
3.1814578	-18.711864
3.236522	-17.493124
3.2564204	-16.740028
3.2854536	-16.740736
3.3282568	-16.347048
3.3649318	-16.31206
3.4169083	-15.81094
3.4429092	-15.273301
3.4826374	-15.310156
3.505606	-14.234172
3.5285335	-14.091191
3.539236	-13.947913
3.5514495	-14.199406
3.560618	-14.19963
3.5713272	-13.912812
3.6064694	-13.985439
3.6385365	-14.48861
3.6873949	-15.386925
3.7210011	-15.638939
3.7438967	-16.213655
3.7714148	-15.927248
3.7867208	-15.353464
3.7959003	-15.102494
3.8295145	-15.175084
3.8432574	-15.390729
3.8815005	-14.458656
3.8968065	-13.884872
3.9090183	-14.17225
3.939578	-14.20888
3.9823987	-13.420459
4.0037966	-13.313327
4.0404987	-12.668296
4.097037	-12.669676
4.144374	-13.424413
4.1566143	-13.065864
4.171887	-13.245661
4.2222095	-15.579404
4.2665124	-15.831679
4.310755	-17.447578
4.3504767	-17.627972
4.391715	-18.059597
4.436061	-17.342981
4.458971	-17.594736
4.4926043	-17.236708
4.523189	-16.699183
4.5644436	-16.77196
4.5796895	-17.561798
4.6178594	-18.280426
4.631612	-18.280762
4.67584	-20.219624
4.7033134	-20.937992
4.7170644	-20.97421
4.7567196	-22.661768
4.811722	-22.842535
4.8269773	-23.417065
4.8651595	-23.848616
4.9064317	-23.526659
4.9538035	-23.49193
4.9951105	-22.380508
