Frequency	S11	Frequency	S22
GHZ	dB	GHZ	dB
0.12750803	-20.680845	0.09713626	-11.097032
0.12511593	-21.223906	0.10006474	-13.560419
0.1267682	-22.03889	0.108912766	-15.316161
0.124066725	-23.149862	0.12770727	-16.120142
0.12803039	-23.569939	0.13826664	-16.900143
0.1381884	-24.163332	0.14667442	-17.411943
0.15251186	-24.806427	0.14498898	-18.46086
0.15943259	-23.64639	0.15538433	-18.77743
0.16999416	-23.499033	0.1576395	-19.338322
0.16956596	-20.437098	0.17825757	-19.483643
0.18014097	-20.265047	0.19041605	-18.970818
0.17930922	-17.943865	0.19618885	-17.848524
0.18988423	-17.771814	0.21034354	-17.16486
0.19066441	-16.339693	0.21831109	-16.432722
0.20119907	-16.241718	0.22630452	-15.773755
0.19995034	-14.685979	0.2384371	-15.187757
0.210485	-14.588004	0.2568	-14.772188
0.21125172	-13.180574	0.27741808	-14.917511
0.22178638	-13.0826	0.29408687	-15.526466
0.2224993	-11.773937	0.3046117	-16.208902
0.23304741	-11.651271	0.315197	-17.062075
0.23142204	-10.7869005	0.32778707	-17.7688
0.24405286	-10.689085	0.33443174	-19.109997
0.24641806	-10.195408	0.34740165	-20.889925
0.25272003	-10.171192	0.35597345	-21.865156
0.25290835	-9.825507	0.37005043	-20.961973
0.26766226	-9.678466	0.37596998	-20.254326
0.2658082	-9.233856	0.38364404	-18.692894
0.27650428	-8.839581	0.39589748	-18.44837
0.28715998	-8.51938	0.39714268	-16.155514
0.30413112	-8.150271	0.40475628	-14.423344
0.32520044	-7.9543214	0.4126375	-13.447294
0.34203705	-7.8321304	0.4267145	-12.544111
0.3734796	-7.834507	0.43050838	-11.641439
0.39641643	-8.0584755	0.4404376	-10.640897
0.4109013	-8.40527	0.46272382	-9.688522
0.41505328	-8.479662	0.4910418	-8.345584
0.442438	-8.234804	0.5216409	-7.6367097
0.45520335	-7.8900704	0.5442379	-7.562411
0.46172053	-7.4707856	0.5772648	-7.9022465
0.4766762	-6.953368	0.6062043	-8.31546
0.4851954	-6.7070847	0.63512653	-8.679892
0.50001657	-6.4365845	0.6516055	-8.752246
0.5252513	-6.290335	0.66595006	-8.605184
0.56497097	-6.49088	0.6781776	-8.287486
0.59669596	-5.97473	0.7107297	-7.2858176
0.6134788	-5.951306	0.73914266	-6.21118
0.648885	-6.3737593	0.77583396	-5.28248
0.66366583	-6.1773343	0.7942227	-4.9400845
0.6848831	-5.7097754	0.84961355	-4.547065
0.7420043	-4.7510753	0.88453305	-4.4233694
0.7779082	-4.259934	0.9051425	-4.5443006
0.8073353	-4.1140018	0.94412345	-4.2740545
0.8389527	-3.7953858	0.9688461	-4.394781
0.8453623	-3.5736356	1.0468512	-3.9762437
0.8727067	-3.4028533	1.087932	-3.8278503
0.9561365	-4.1746354	1.1208811	-3.9481673
0.99376	-4.3750215	1.141456	-3.9715345
0.9978312	-4.597564	1.186909	-4.554666
1.03352	-4.5014906	1.2364925	-5.1863747
1.0631084	-4.0592575	1.2468705	-5.454164
1.0863278	-3.7646995	1.2735895	-5.404051
1.1073567	-3.6428254	1.3124582	-4.816722
1.1471705	-3.6705275	1.343109	-4.254194
1.1680919	-3.7461872	1.3595276	-4.1558104
1.2016306	-3.7487226	1.4066746	-3.7144182
1.2642063	-4.3213863	1.4292974	-3.713292
1.3019373	-4.3242383	1.4746209	-3.9305587
1.3165433	-4.4488063	1.5406057	-4.4151025
1.3542879	-4.4269667	1.5941557	-4.6319594
1.4459947	-5.3969164	1.6188092	-4.557558
1.4957782	-6.3636975	1.6598123	-4.189646
1.5537311	-7.7261806	1.6884152	-3.6516106
1.6055839	-8.742503	1.7110208	-3.6017025
1.647171	-9.362967	1.7356226	-3.380955
1.692547	-10.724498	1.7685201	-3.354926
1.7193533	-11.541386	1.8469136	-4.0339837
1.7402477	-11.666429	1.9396949	-4.6879334
1.778759	-10.23716	2.0056968	-5.221259
1.80472	-8.757556	2.0406423	-5.170737
1.8455293	-6.958069	2.0734534	-4.900798
1.883906	-5.7757173	2.1269257	-4.898136
1.9241772	-4.9639	2.2072117	-5.1136627
1.9620562	-4.6951427	2.2669747	-5.4521675
2.0039527	-4.7476954	2.3393798	-6.643743
2.020628	-4.921805	2.4057615	-8.250273
2.0458088	-4.874323	2.4327567	-8.980672
2.058453	-4.751815	2.4720051	-9.466546
2.094088	-4.7545085	2.4925888	-9.514304
2.2080748	-3.3062515	2.554184	-9.218541
2.311083	-2.7707973	2.5995765	-9.630936
2.363474	-2.7994502	2.6450639	-10.311631
2.4032338	-2.9259195	2.7132866	-11.308284
2.4471862	-3.0527058	2.7400832	-11.47769
2.5222447	-3.7991624	2.818701	-12.790914
2.6333015	-3.8816354	2.837366	-13.22903
2.761531	-3.2246237	2.8537931	-13.155038
2.9083169	-3.136948	2.8905277	-12.348292
3.0251508	-4.158183	2.9045615	-11.3231535
3.0919995	-4.583013	2.9287748	-10.004811
3.1340036	-4.4380317	2.9490218	-9.101321
3.1549923	-4.3902326	2.971308	-8.148947
3.2370389	-3.8531938	3.0018294	-7.220553
3.2957048	-3.907014	3.0263276	-6.7071137
3.3335702	-3.6629484	3.0775535	-6.1679525
3.3629167	-3.6651666	3.1371784	-6.1162014
3.4112227	-3.4959688	3.1968637	-6.2351875
3.4636405	-3.4752383	3.2706692	-5.572945
3.511718	-3.7258	3.3177385	-4.9120336
3.5658014	-4.495364	3.3483808	-4.3251143
3.6260657	-5.4629374	3.4222553	-3.8579998
3.6678545	-5.7130237	3.4695404	-3.8068633
3.6931431	-5.4680076	3.4879982	-3.659596
3.7101278	-5.0742073	3.5786884	-4.216084
